Bin,Domain,Kingdom,Phylum,Class,Order,Family,Genus,Species,Plasmid ID
MAG_1115,,,,,,,,,
MAG_1116,Bacteria,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,RGIG6375,,
MAG_1117,Bacteria,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,Faecousia,,
MAG_1118,,,,,,,,,
MAG_1119,,,,,,,,,
MAG_112,Bacteria,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,Choladousia,,
MAG_1120,Bacteria,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Acutalibacteraceae,UBA1081,,
MAG_1121,,,,,,,,,
MAG_1122,Bacteria,Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Bifidobacteriaceae,RGIG1476,RGIG1476 sp017413255,
MAG_1123,Bacteria,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,CAG-272,UBA1740,,
MAG_1124,,,,,,,,,
MAG_1125,,,,,,,,,
MAG_1126,Bacteria,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,,
MAG_1127,,,,,,,,,
MAG_1128,,,,,,,,,
MAG_1129,,,,,,,,,
MAG_113,Bacteria,Bacteria,Firmicutes_A,Clostridia,Christensenellales,Christensenellaceae,,,
MAG_1130,,,,,,,,,
MAG_1131,Bacteria,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Ruminococcaceae,Bittarella,,
MAG_1132,,,,,,,,,
MAG_1133,Bacteria,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,,
MAG_1134,Bacteria,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Ruminococcaceae,Ruminococcus,Ruminococcus sp015066925,
MAG_1135,Bacteria,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Ruminococcaceae,RGIG3102,,
MAG_1136,Bacteria,Bacteria,Firmicutes_A,Clostridia,Christensenellales,Borkfalkiaceae,Scatosoma,,
MAG_1137,Bacteria,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,JAAYXM01,RGIG7332,,
MAG_1138,Bacteria,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,Faecousia,,
MAG_1139,Bacteria,Bacteria,Planctomycetota,Planctomycetia,Pirellulales,Thermoguttaceae,RUG369,RUG369 sp017435375,
MAG_114,,,,,,,,,
MAG_1140,,,,,,,,,
MAG_1141,,,,,,,,,
MAG_1142,,,,,,,,,
MAG_1143,,,,,,,,,
MAG_1144,,,,,,,,,
MAG_1145,,,,,,,,,
MAG_1146,,,,,,,,,
MAG_1147,Bacteria,Bacteria,Planctomycetota,Planctomycetia,Pirellulales,Thermoguttaceae,RUG369,RUG369 sp017937485,
MAG_1148,,,,,,,,,
MAG_1149,,,,,,,,,
MAG_115,Bacteria,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,Dysosmobacter,,
MAG_1150,Bacteria,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,UBA932,Cryptobacteroides,,
MAG_1151,,,,,,,,,
MAG_1152,Bacteria,Bacteria,Firmicutes_A,Clostridia,Christensenellales,Christensenellaceae,,,
MAG_1153,,,,,,,,,
MAG_1154,,,,,,,,,
MAG_1155,,,,,,,,,
MAG_1156,,,,,,,,,
MAG_1157,,,,,,,,,
MAG_1158,,,,,,,,,
MAG_1159,,,,,,,,,
MAG_116,Bacteria,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Acutalibacteraceae,Clostridium_A,,
MAG_1160,Bacteria,Bacteria,Firmicutes_A,Clostridia,Christensenellales,Christensenellaceae,,,
MAG_1161,,,,,,,,,
MAG_1162,Bacteria,Bacteria,Planctomycetota,Planctomycetia,Pirellulales,Thermoguttaceae,RUG369,,
MAG_1163,Bacteria,Bacteria,Firmicutes_A,Clostridia,Christensenellales,CAG-138,UBA1685,UBA1685 sp017435905,
MAG_1164,Bacteria,Bacteria,Firmicutes_A,Clostridia,Christensenellales,Christensenellaceae,,,
MAG_1165,Bacteria,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,Flavonifractor,,
MAG_1166,Bacteria,Bacteria,Desulfobacterota_I,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Mailhella,,
MAG_1167,,,,,,,,,
MAG_1168,,,,,,,,,
MAG_1169,,,,,,,,,
MAG_117,Bacteria,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Acutalibacteraceae,UBA1081,,
MAG_1170,Bacteria,Bacteria,Firmicutes_A,Clostridia,Christensenellales,CAG-138,UBA1685,UBA1685 sp017435905,
MAG_1171,,,,,,,,,
MAG_1172,Bacteria,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,UBA738,,
MAG_1173,Bacteria,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Acutalibacteraceae,UBA737,,
MAG_1174,Bacteria,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,RUG11977,,
MAG_1175,Bacteria,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,Faecousia,,
MAG_1176,,,,,,,,,
MAG_1177,Bacteria,Bacteria,Firmicutes_C,Negativicutes,Veillonellales,Dialisteraceae,Dialister,Dialister sp000434475,
MAG_1178,Bacteria,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,Limivicinus,,
MAG_1179,,,,,,,,,
MAG_118,Bacteria,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,Blautia_A,,
MAG_1180,Bacteria,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,UBA932,Cryptobacteroides,,
MAG_1181,Bacteria,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Acutalibacteraceae,UMGS1484,,
MAG_1182,Bacteria,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Ruminococcaceae,UMGS1668,,
MAG_1183,Bacteria,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Ruminococcaceae,UMGS1668,UMGS1668 sp017847875,
MAG_1184,Bacteria,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,Faecousia,,
MAG_1185,Bacteria,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,HGM04593,,
MAG_1186,Bacteria,Bacteria,Firmicutes_A,Clostridia,Christensenellales,UBA1242,HGM11367,,
MAG_1187,,,,,,,,,
MAG_1188,,,,,,,,,
MAG_1189,Bacteria,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Acutalibacteraceae,UMGS1071,,
MAG_119,Bacteria,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,RGIG4284,,
MAG_1190,,,,,,,,,
MAG_1191,,,,,,,,,
MAG_1192,,,,,,,,,
MAG_1193,Bacteria,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,Limivicinus,,
MAG_1194,Bacteria,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,,
MAG_1195,Bacteria,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,,
MAG_1196,Bacteria,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,Muribaculum,Muribaculum sp003150235,
MAG_1197,,,,,,,,,
MAG_1198,,,,,,,,,
MAG_1199,Bacteria,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes sp015060075,
MAG_12,Bacteria,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,Mediterraneibacter_A,,
MAG_120,Bacteria,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,Evtepia,,
MAG_1200,Bacteria,Bacteria,Firmicutes_A,Clostridia,Christensenellales,UBA1750,SIG373,SIG373 sp015056005,
MAG_1201,,,,,,,,,
MAG_1202,Bacteria,Bacteria,Firmicutes_A,Clostridia,Christensenellales,UBA1242,UBA9845,,
MAG_1203,,,,,,,,,
MAG_1204,Bacteria,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Tidjanibacter,Tidjanibacter sp017521965,
MAG_1205,Bacteria,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes sp017623115,
