Contig,Bin,Type
contig_11477,MAG_191,chromosome
contig_11478,MAG_1612,unmapped
contig_11479,MAG_1611,unmapped
contig_11480,MAG_1611,unmapped
contig_11481,MAG_1533,unmapped
contig_11482,MAG_1574,unmapped
contig_11483,MAG_1181,chromosome
contig_11484,MAG_1181,unmapped
contig_11487,MAG_545,unmapped
contig_11491,MAG_749,unmapped
contig_11496,MAG_1181,chromosome
contig_11498,MAG_7,chromosome
contig_11503,MAG_41,chromosome
contig_11505,MAG_576,unmapped
contig_11513,Unbinned MAG,unmapped
contig_11514,MAG_961,chromosome
contig_11522,MAG_342,chromosome
contig_11524,MAG_144,chromosome
contig_11525,MAG_1593,unmapped
contig_11526,MAG_1665,unmapped
contig_11535,MAG_677,unmapped
contig_11536,MAG_1042,chromosome
contig_11542,MAG_457,unmapped
contig_11543,MAG_1553,chromosome
contig_11544,MAG_1553,chromosome
contig_11555,MAG_63,chromosome
contig_11561,contig_11561,phage
contig_11563,MAG_166,chromosome
contig_11564,MAG_84,chromosome
contig_11566,MAG_1683,chromosome
contig_11572,MAG_169,chromosome
contig_11575,MAG_1320,unmapped
contig_11579,MAG_1584,chromosome
contig_11614,MAG_1452,chromosome
contig_11615,MAG_1452,unmapped
contig_11619,MAG_195,unmapped
contig_11620,MAG_91,chromosome
contig_11621,MAG_770,chromosome
contig_11629,contig_11629,phage
contig_11632,MAG_123,chromosome
contig_11638,MAG_118,chromosome
contig_11640,MAG_1176,unmapped
contig_11650,Unbinned MAG,unmapped
contig_11666,MAG_1407,unmapped
contig_11674,MAG_169,chromosome
contig_11676,MAG_1493,chromosome
contig_11684,MAG_133,chromosome
contig_11693,MAG_1841,chromosome
contig_11696,contig_11696,plasmid
contig_11706,MAG_1713,unmapped
contig_11709,MAG_1713,unmapped
contig_11716,MAG_1713,chromosome
contig_11717,MAG_1713,unmapped
contig_11718,MAG_1132,unmapped
contig_11719,contig_11719,phage
contig_1172,MAG_315,chromosome
contig_11721,MAG_1713,unmapped
contig_11723,MAG_1713,unmapped
contig_11728,MAG_764,unmapped
contig_1173,MAG_315,chromosome
contig_11730,MAG_297,chromosome
contig_11733,MAG_12,chromosome
contig_11739,MAG_1682,unmapped
contig_11742,MAG_1682,unmapped
contig_11767,MAG_603,chromosome
contig_11771,MAG_1380,unmapped
contig_11773,MAG_1474,chromosome
contig_11777,contig_11777,phage
contig_11778,contig_11778,phage
contig_11779,Unbinned MAG,unmapped
contig_11780,contig_11780,phage
contig_11784,Unbinned MAG,unmapped
contig_11786,MAG_136,chromosome
contig_11789,MAG_136,chromosome
contig_11792,MAG_236,chromosome
contig_11796,MAG_1629,chromosome
contig_11805,MAG_321,chromosome
contig_11808,Unbinned MAG,unmapped
contig_11809,MAG_1707,chromosome
contig_11811,MAG_1706,chromosome
contig_11816,MAG_469,chromosome
contig_11824,MAG_1892,chromosome
contig_11825,MAG_177,chromosome
contig_11826,MAG_45,chromosome
contig_11827,MAG_45,chromosome
contig_11828,MAG_802,chromosome
contig_11835,MAG_1286,chromosome
contig_11840,MAG_1268,chromosome
contig_11841,MAG_686,unmapped
contig_11845,Unbinned MAG,unmapped
contig_11848,MAG_1327,chromosome
contig_11849,MAG_24,chromosome
contig_11850,MAG_79,chromosome
contig_11852,MAG_1500,chromosome
contig_11862,MAG_293,unmapped
contig_11863,MAG_287,chromosome
contig_11864,MAG_221,chromosome
contig_11871,MAG_88,chromosome
contig_11873,MAG_579,chromosome
contig_11881,MAG_38,chromosome
contig_11890,MAG_1361,chromosome
contig_11893,MAG_7,chromosome
contig_11894,MAG_379,chromosome
contig_11899,MAG_323,chromosome
contig_11901,MAG_320,unmapped
contig_11904,MAG_21,unmapped
contig_11905,MAG_21,unmapped
contig_11909,MAG_79,chromosome
contig_11912,MAG_722,chromosome
contig_11914,MAG_1563,chromosome
contig_11917,MAG_1863,unmapped
contig_11919,MAG_50,chromosome
contig_11920,MAG_1544,chromosome
contig_11921,MAG_1544,chromosome
contig_11930,MAG_1715,chromosome
contig_11937,MAG_917,chromosome
contig_11942,MAG_483,chromosome
contig_11958,MAG_122,chromosome
contig_1196,MAG_1783,chromosome
contig_11962,MAG_30,chromosome
contig_11965,MAG_83,chromosome
contig_11966,MAG_83,unmapped
contig_1197,MAG_102,chromosome
contig_11979,MAG_675,unmapped
contig_11980,MAG_1139,chromosome
contig_11981,MAG_1414,chromosome
contig_11982,MAG_772,chromosome
contig_11984,MAG_772,chromosome
contig_11985,MAG_23,chromosome
contig_11989,MAG_116,chromosome
contig_11990,MAG_86,chromosome
contig_11994,MAG_1175,chromosome
contig_12002,MAG_26,chromosome
contig_12004,MAG_526,unmapped
contig_1203,MAG_1565,chromosome
contig_12030,MAG_1253,chromosome
contig_12039,MAG_1468,chromosome
contig_12040,MAG_32,chromosome
contig_12045,MAG_107,chromosome
contig_12046,Unbinned MAG,unmapped
contig_12047,MAG_107,chromosome
contig_12048,MAG_107,unmapped
contig_12051,MAG_767,chromosome
contig_1206,MAG_1117,chromosome
contig_12062,MAG_78,unmapped
contig_12063,MAG_114,unmapped
contig_12065,MAG_78,unmapped
contig_12067,contig_12067,plasmid
contig_12070,MAG_114,unmapped
contig_12075,MAG_114,unmapped
contig_12078,MAG_114,unmapped
contig_12079,MAG_78,unmapped
contig_12082,MAG_78,unmapped
contig_12084,MAG_78,unmapped
contig_12087,MAG_78,unmapped
contig_12088,contig_12088,plasmid
contig_12089,MAG_114,unmapped
contig_12090,MAG_1046,unmapped
contig_12092,MAG_114,unmapped
contig_12101,MAG_840,unmapped
contig_12105,MAG_1497,chromosome
contig_12106,MAG_156,unmapped
contig_12108,MAG_45,chromosome
contig_12119,MAG_142,chromosome
contig_1212,Unbinned MAG,unmapped
contig_12122,contig_12122,phage
contig_12132,contig_12132,phage
contig_12135,MAG_220,unmapped
contig_12147,MAG_1301,unmapped
contig_12152,MAG_411,unmapped
contig_12153,MAG_1427,chromosome
contig_12154,MAG_393,chromosome
contig_12158,MAG_215,chromosome
contig_12159,MAG_908,chromosome
contig_1216,Unbinned MAG,unmapped
contig_12160,MAG_86,chromosome
contig_12161,MAG_275,chromosome
contig_12164,MAG_120,chromosome
contig_12165,MAG_7,chromosome
contig_12171,MAG_1343,chromosome
contig_12172,MAG_1343,chromosome
contig_12178,MAG_159,unmapped
contig_1218,MAG_515,chromosome
contig_12181,MAG_1752,chromosome
contig_12182,MAG_722,chromosome
contig_12184,MAG_12,chromosome
contig_1220,MAG_1295,chromosome
contig_12200,MAG_1060,unmapped
contig_12206,MAG_353,unmapped
contig_12208,MAG_1239,chromosome
contig_1221,MAG_52,chromosome
contig_12216,MAG_311,chromosome
contig_1222,MAG_52,chromosome
contig_12232,MAG_65,chromosome
contig_12246,MAG_134,chromosome
contig_12248,MAG_233,chromosome
contig_12256,MAG_1052,chromosome
contig_12258,MAG_178,chromosome
contig_12266,MAG_1892,chromosome
contig_12273,MAG_319,chromosome
contig_12274,MAG_1482,chromosome
contig_12277,MAG_854,chromosome
contig_12278,contig_12278,phage
contig_12284,MAG_203,chromosome
contig_12292,Unbinned MAG,unmapped
contig_1230,MAG_966,chromosome
contig_12308,Unbinned MAG,unmapped
contig_1233,MAG_966,unmapped
contig_12336,MAG_928,unmapped
contig_12337,MAG_459,chromosome
contig_1234,MAG_1838,chromosome
contig_12347,MAG_399,chromosome
contig_12363,MAG_399,chromosome
contig_12369,MAG_6,chromosome
contig_12370,MAG_19,chromosome
contig_12372,MAG_305,chromosome
contig_12393,MAG_1423,chromosome
contig_12397,MAG_1423,chromosome
contig_12401,contig_12401,plasmid
contig_12402,Unbinned MAG,unmapped
contig_12404,contig_12404,phage
contig_12411,MAG_1818,chromosome
contig_12413,MAG_72,chromosome
contig_12414,MAG_84,chromosome
contig_12417,MAG_72,unmapped
contig_12419,MAG_1524,chromosome
contig_12421,MAG_1524,chromosome
contig_12442,MAG_479,chromosome
contig_12469,MAG_1454,unmapped
contig_12470,MAG_1019,unmapped
contig_12471,MAG_283,unmapped
contig_12478,MAG_1417,unmapped
contig_12479,MAG_1548,unmapped
contig_12481,MAG_1388,chromosome
contig_12486,MAG_367,unmapped
contig_12488,MAG_1315,chromosome
contig_12494,MAG_119,chromosome
contig_12496,MAG_251,chromosome
contig_12497,MAG_383,chromosome
contig_12511,MAG_1333,chromosome
contig_12514,MAG_955,chromosome
contig_12518,MAG_823,unmapped
contig_12543,MAG_1321,chromosome
contig_12548,MAG_339,chromosome
contig_12557,MAG_273,unmapped
contig_12558,MAG_544,chromosome
contig_12560,MAG_733,unmapped
contig_12562,MAG_302,chromosome
contig_12565,MAG_1298,chromosome
contig_12571,MAG_117,chromosome
contig_12572,MAG_788,chromosome
contig_12574,MAG_290,chromosome
contig_12577,MAG_1609,unmapped
contig_12578,MAG_290,chromosome
contig_12579,MAG_1609,unmapped
contig_12591,MAG_1323,unmapped
contig_12593,MAG_107,chromosome
contig_12597,MAG_1058,chromosome
contig_126,MAG_1528,chromosome
contig_12606,MAG_1732,chromosome
