Contig,Restriction sites,Length,Coverage,Self Contact
contig_11773,3263,420912,464,
contig_11777,1411,79910,2987,
contig_11778,828,48128,425,
contig_11779,316,16652,31,
contig_11780,331,17230,31,
contig_11784,613,31941,25,
contig_11786,1853,197775,348,
contig_11789,171,21011,10,
contig_11792,448,53950,100,
contig_11796,1065,117550,243,
contig_11805,2770,379229,545,
contig_11808,265,50743,4,
contig_11809,2374,402881,594,
contig_11811,272,42365,50,
contig_11816,717,83491,83,
contig_11824,2467,328076,376,
contig_11825,482,60202,64,
contig_11826,316,36648,9,
contig_11827,343,37019,48,
contig_11828,735,142298,55,
contig_11835,1381,187706,83,
contig_11840,4421,676658,481,
contig_11841,1960,237862,34,
contig_11845,917,62463,24,
contig_11848,2925,380086,1448,
contig_11849,358,50084,107,
contig_11850,236,32009,51,
contig_11852,5166,332108,85,
contig_11862,2343,236410,275,
contig_11863,2463,280620,235,
contig_11864,1005,138039,230,
contig_11871,1712,218586,1694,
contig_11873,522,41025,4,
contig_11881,466,39421,107,
contig_11890,2572,298899,1773,
contig_11893,995,137361,905,
contig_11894,330,49765,14,
contig_11899,421,55180,64,
contig_11901,494,52215,36,
contig_11904,493,51186,107,
contig_11905,389,42506,81,
contig_11909,267,34823,58,
contig_11912,339,41042,24,
contig_11914,1461,191882,394,
contig_11917,174,36662,101,
contig_11919,143,21073,56,
contig_11920,95,8496,73,
contig_11921,476,45622,645,
contig_11930,2097,195479,87,
contig_11937,270,27666,528,
contig_11942,826,106257,58,
contig_11958,392,33790,29,
contig_1196,2058,208848,2391,
contig_11962,498,50142,86,
contig_11965,1750,208906,543,
contig_11966,82,10404,5,
contig_1197,1677,172762,794,
contig_11979,100,12188,5,
contig_11980,7036,962523,7101,
contig_11981,21254,2258305,12896,
contig_11982,859,89091,255,
contig_11984,8348,783405,2003,
contig_11985,421,43415,94,
contig_11989,758,79512,73,
contig_11990,381,57971,125,
contig_11994,21173,2063914,25211,
contig_12002,1541,207322,663,
contig_12004,435,40553,807,
contig_1203,7781,814081,29210,
contig_12030,6674,757571,604,
contig_12039,1077,90637,43,
contig_12040,413,39670,62,
contig_12045,1188,143576,678,
contig_12046,160,23813,31,
contig_12047,1565,221660,1016,
contig_12048,210,24263,30,
contig_12051,56631,5537746,87995,
contig_1206,20984,2472988,85080,
contig_12062,2310,369110,4961,
contig_12063,403,55915,449,
contig_12065,133,21186,98,
contig_12067,384,75037,324,
contig_12070,380,53587,280,
contig_12075,1352,213238,679,
contig_12078,786,118902,616,
