Contig,Restriction sites,Length,Coverage,Self Contact
contig_44366,104,34062,7,
contig_44367,784,52380,21,
contig_44375,4510,442778,382,
contig_44383,879,94154,185,
contig_44385,391,42632,60,
contig_44388,576,55623,21,
contig_4439,1334,211045,6994,
contig_44390,203,14944,230,
contig_44406,1151,72313,53,
contig_44409,213,41680,231,
contig_44416,4577,425190,224,
contig_4442,1930,221135,1588,
contig_44423,852,74270,509,
contig_44428,321,31634,83,
contig_44440,166,16413,6,
contig_44446,185,16299,981,
contig_4445,1465,184738,115,
contig_44453,775,64049,111,
contig_44457,159,20319,17,
contig_4446,4287,571996,7783,
contig_44466,2872,385334,1166,
contig_44467,485,77406,286,
contig_44470,76,9936,6127,
contig_44480,180,20719,47,
contig_44484,236,32898,24,
contig_4449,2379,315811,462,
contig_44492,106,15775,30,
contig_44500,60,17488,20,
contig_44501,1162,278997,181,
contig_44507,1008,110212,107,
contig_4451,257,32747,87,
contig_44513,571,48674,63,
contig_44520,285,41643,114,
contig_44521,412,45628,44,
contig_44522,221,25699,45,
contig_44523,926,73655,62,
contig_44526,3433,236874,364,
contig_44536,102,30839,110,
contig_4454,6190,785040,3315,
contig_44544,631,72162,75,
contig_4455,530,53300,55,
contig_44553,183,21777,122,
contig_44556,398,38663,36,
contig_44558,244,33346,3,
contig_44567,595,53255,93,
contig_44584,778,89241,14,
contig_44585,17741,1662728,9792,
contig_44595,3438,368739,323,
contig_44605,1330,158233,117,
contig_44613,288,43716,45,
contig_44629,219,43448,57,
contig_44633,90,7885,130,
contig_44639,170,18903,42,
contig_4465,1517,175748,55,
contig_44661,231,30313,112,
contig_44664,539,66820,117,
contig_4467,7516,854547,964,
contig_44672,416,53646,137,
contig_44674,200,37664,201,
contig_4468,844,94862,154,
contig_44685,1194,151249,47,
contig_44694,1335,232853,772,
contig_44697,99,25528,62,
contig_447,3903,347431,720,
contig_44702,165,12500,4,
contig_44706,253,46898,17,
contig_44709,108,18947,27,
contig_44710,224,26322,26,
contig_44712,142,24297,78,
contig_44727,166,16543,435,
contig_44732,1483,116594,70,
contig_44736,2095,92759,13,
contig_44738,199,19524,5,
contig_44741,354,26413,20,
contig_44743,450,47673,107,
contig_44750,342,38873,190,
contig_44753,1502,189780,766,
contig_44754,1035,133629,134,
contig_44767,194,15680,75,
contig_44772,431,43989,66,
contig_44780,221,26838,75,
contig_44783,1025,91549,670,
contig_44787,719,95339,90,
contig_44789,543,72885,192,
contig_44792,205,17882,10,
contig_44796,1241,115217,828,
contig_44799,218,48653,43,
contig_448,3941,441977,2401,
contig_44801,169,40042,114,
contig_44807,463,111905,236,
contig_4481,1736,193273,72,
contig_44813,102,16301,116,
contig_44818,140,21288,4,
contig_44823,390,37249,95,
contig_44824,876,91681,84,
contig_44826,192,23078,97,
contig_44827,1428,197393,943,
contig_44830,642,33167,8,
contig_44841,370,36825,13,
contig_44852,2768,238839,301,
contig_44854,621,58674,1355,
contig_4486,5065,523589,358,
contig_44860,382,48953,78,
contig_44865,289,42750,39,
contig_44867,245,24941,25,
contig_4487,1523,153152,18,
contig_44871,180,15575,900,
contig_44873,451,57170,62,
contig_44875,325,29165,180,
contig_44884,295,41574,8,
contig_44885,241,33636,53,
contig_44888,3318,332173,353,
contig_44890,31,36396,438,
contig_44891,812,112677,178,
contig_44899,720,51026,62,
contig_4490,1541,177169,278,
contig_44901,672,62853,90,
contig_44902,550,49293,34,
contig_44904,278,23470,23,
contig_44908,317,48656,170,
contig_44910,324,23262,36,
contig_44911,764,90324,83,
contig_44916,503,86922,105,
contig_44922,4166,488896,4256,
contig_44924,497,30484,17,
contig_44933,22615,2041403,4941,
contig_44944,334,60122,20,
contig_44947,100,9200,216,
contig_4496,4801,740492,941,
contig_44964,135,13486,16,
contig_44966,707,102696,161,
contig_44973,227,57413,23,
contig_44986,692,128181,221,
contig_44987,228,28510,913,
contig_44988,200,28992,37,
contig_4499,4442,681636,644,
contig_44990,112,23263,15,
contig_45,253,38632,77,
contig_45009,184,24503,43,
contig_45010,890,153137,497,
contig_45019,43,6620,8,
contig_45020,1429,272630,1212,
contig_45032,2727,208039,329,
contig_4504,2344,360769,558,
contig_45044,89,20929,171,
contig_4505,6551,938614,751,
contig_45056,190,20889,87,
contig_4506,888,83902,88,
contig_45082,155,16967,29,
contig_45085,246,30295,1719,
contig_45088,482,56878,1756,
contig_451,12103,1167938,9798,
contig_45101,1168,155654,332,
contig_45115,1569,179420,200,
contig_45118,2189,181842,120,
contig_45119,3772,235925,235,
contig_45134,975,73676,1296,
contig_45141,1736,200953,178,
contig_45143,1662,204914,129,
contig_45145,585,72211,25,
contig_45151,244,25684,45,
contig_45159,821,58716,74,
contig_45161,1395,157183,149,
contig_45169,210,29567,36,
contig_45170,134,22593,1,
contig_45172,1120,167791,102,
contig_45173,827,155798,330,
contig_4518,577,95848,225,
contig_45180,96,18888,50,
contig_45186,601,55388,63,
contig_45189,198,20628,22,
contig_45190,186,16005,469,
contig_45195,521,57970,32,
contig_45199,1657,146949,297,
contig_452,551,61306,18,
contig_45204,148,15756,385,
contig_45218,827,113390,572,
contig_45219,149,15693,64,
contig_45228,518,51292,54,
contig_45233,527,48408,125,
contig_45234,158,17314,129,
contig_45235,370,44893,92,
contig_45244,370,44189,1491,
contig_45248,366,50280,553,
contig_45250,309,39594,284,
contig_45258,11434,1060731,3173,
contig_45259,508,62721,16,
contig_45260,861,105806,47,
contig_45266,470,48798,336,
contig_45272,215,68738,106,
contig_45278,168,35453,201,
contig_45281,141,16952,77,
contig_45285,137,12305,75,
contig_45286,155,17693,303,
contig_45288,515,56600,67,
contig_45289,278,45931,738,
contig_45292,579,40782,258,
contig_45294,201,18458,7,
contig_45296,1171,127860,111,
contig_45304,119,16897,5,
contig_45311,248,27179,70,
contig_45322,1153,130626,78,
contig_4533,503,56994,55,
contig_45339,419,52350,135,
contig_45348,82,13368,110,
contig_45350,342,33968,41,
contig_45357,9394,1167941,6211,
contig_45364,399,33315,715,
contig_45365,158,24615,87,
contig_45366,173,24163,52,
contig_4537,12333,2205754,2772,
contig_45377,740,112034,121,
contig_45378,726,111623,184,
contig_45379,455,78540,253,
contig_45383,517,68870,104,
contig_45384,608,69168,25,
contig_45385,353,34750,75,
contig_4539,407,43177,103,
contig_45390,248,31750,30,
contig_45395,200,24324,31,
contig_45398,467,39550,274,
contig_45399,179,21224,38,
contig_454,10065,868564,22895,
contig_4540,29327,3743755,25436,
contig_45400,739,66761,3467,
contig_45401,791,136098,152,
contig_45405,467,75587,134,
contig_45408,1044,110791,126,
contig_4541,254,40225,75,
contig_45417,77,22207,44,
contig_45420,597,68753,220,
contig_45429,203,56965,81,
contig_45430,648,76771,122,
contig_45440,194,18988,20,
contig_45445,212,33691,60,
contig_45457,254,33216,25,
contig_45466,154,11615,3337,
contig_45467,294,31459,46,
contig_45475,152,14694,32,
contig_45476,1215,209710,459,
contig_45477,1141,119508,91,
contig_45478,385,31859,142,
contig_45496,537,46557,37,
contig_455,838,76875,2421,
contig_45503,195,19428,768,
contig_45504,1064,116876,137,
contig_45505,994,109978,81,
contig_45506,84,9838,7,
contig_4551,1546,323022,146,
contig_45520,285,32574,331,
contig_45525,294,38778,55,
contig_4553,18424,2484304,92837,
contig_45546,175,22243,40,
contig_45549,1138,186263,544,
contig_45552,808,118783,122,
contig_45558,299,30026,2,
contig_45564,557,66480,142,
contig_45567,1278,160818,4014,
contig_45569,147,20628,43,
contig_45579,9459,1149384,5581,
contig_4558,5107,580781,141,
contig_45593,281,22568,79,
contig_45595,203,26114,105,
contig_456,7713,912823,5069,
contig_45606,175,12777,45,
contig_45617,165,24705,47,
contig_45620,313,33873,61,
contig_45625,838,152863,151,
contig_45626,740,131899,190,
contig_45627,1293,226937,334,
contig_45628,856,88230,66,
contig_45629,2306,121722,34,
contig_4563,1466,84471,56,
contig_45631,108,17116,3098,
contig_45636,329,23811,21,
contig_45638,131,15349,420,
contig_45654,234,29020,46,
contig_45664,247,23115,39,
contig_45676,2122,355628,415,
contig_45677,139,16203,5,
contig_45678,42,13550,90,
contig_45685,780,100032,143,
contig_45693,222,20811,1,
contig_45696,6236,379204,124,
contig_457,3247,328155,1976,
contig_45702,1903,162047,145,
contig_45715,1340,78362,25,
contig_45719,364,30140,21,
contig_45720,270,52777,143,
contig_45721,346,40375,5,
contig_45725,395,133962,382,
contig_45736,769,62006,221,
contig_45748,216,27934,20,
contig_45750,306,41140,151,
contig_45758,255,29945,89,
contig_45759,3444,619202,1064,
contig_45761,650,137226,618,
contig_45765,2118,175519,1459,
contig_45768,171,17147,13,
contig_45785,282,82193,206,
contig_45786,4154,420895,243,
contig_45794,294,61413,252,
contig_45810,333,40960,48,
contig_4582,321,73259,3098,
contig_45821,835,155356,268,
contig_45825,183,19777,134,
contig_4584,719,136970,126,
contig_45840,3047,176504,110,
contig_45846,138,21864,34,
contig_45853,629,84624,72,
contig_45858,804,90504,235,
contig_45864,1236,79917,35,
contig_45869,784,70443,120,
contig_45881,258,35664,268,
contig_45882,1007,59809,41,
contig_45884,202,16240,18,
contig_4589,3641,401285,485,
contig_45900,3018,299970,360,
contig_45901,500,28733,74,
contig_45903,1308,72242,264,
contig_45907,159,27091,77,
contig_45917,161,17925,5,
contig_45920,1346,148601,83,
contig_45926,1002,97145,400,
contig_45928,565,29865,98,
contig_4593,14652,1554037,1153,
contig_45932,205,39837,16,
contig_45935,381,39108,688,
contig_4594,4920,617675,252,
contig_45942,236,52683,337,
contig_45943,1694,165423,184,
contig_45948,569,53873,37,
contig_45952,160,21578,23,
contig_45953,122,28147,63,
contig_45958,2268,201965,2334,
contig_4596,23130,2581174,69086,
contig_45961,453,48696,75,
contig_45964,135,14463,18,
contig_4597,790,65880,45,
contig_45995,89,12592,242,
contig_45997,392,61944,357,
contig_46,1267,207934,552,
contig_46005,226,31982,98,
contig_46006,535,74436,73,
contig_46007,93,19635,44,
contig_46012,175,16581,13,
contig_46013,246,55305,26,
contig_46019,890,131862,223,
contig_46024,210,16461,133,
contig_46032,69,18594,29,
contig_46034,132,16018,7,
contig_46036,936,105597,78,
contig_46039,206,19242,543,
contig_46042,198,12328,332,
contig_46044,1311,70873,30,
contig_46047,840,127070,183,
contig_4606,321,25055,18,
contig_46069,219,20504,17,
contig_46070,120,15506,7,
contig_46074,320,58186,71,
contig_46078,150,17763,27,
contig_4608,116,11639,1117,
contig_46080,312,20904,279,
contig_46089,1462,120896,1767,
contig_46100,167,15433,8,
contig_46102,123,26221,129,
contig_46108,272,33530,1244,
contig_46120,378,34994,25,
contig_46124,78,10829,7,
contig_46126,921,106296,119,
contig_46129,247,41515,130,
contig_4613,376,33516,197,
contig_46137,431,109677,139,
contig_46139,128,41746,154,
contig_46145,915,101815,361,
contig_46146,228,29977,88,
contig_4615,433,44779,72,
contig_46151,366,63221,108,
contig_46152,867,166311,183,
contig_46153,227,21238,17,
contig_46156,346,21817,38,
contig_4616,993,107956,175,
contig_46162,299,32791,64,
contig_46165,314,42323,24,
contig_4617,1037,107610,581,
contig_46179,1040,147107,969,
contig_46181,327,74814,94,
contig_46184,1572,107765,153,
contig_46187,394,40665,474,
contig_46193,1162,108825,117,
contig_462,27527,2527021,12298,
contig_46201,153,22050,52,
contig_46202,194,33351,44,
contig_46208,533,53513,212,
contig_46212,3405,253290,9894,
contig_46214,494,42613,74,
contig_46219,154,19076,55,
contig_46223,286,41878,18,
contig_46227,1711,198240,408,
contig_46230,567,111494,141,
contig_46232,720,71987,125,
contig_46239,378,63298,46,
contig_46247,474,85830,3483,
contig_46248,146,14160,15,
contig_4625,782,145547,102,
contig_46251,301,32088,196,
contig_46259,10966,1266815,12307,
contig_46260,281,34349,96,
contig_46291,661,60345,19,
contig_46293,219,24020,10,
contig_46297,144,21366,45,
contig_463,16528,1661969,5856,
contig_46300,448,47143,17,
contig_46307,381,32324,119,
contig_46309,1156,97193,393,
contig_4631,310,61749,11,
contig_46318,695,92472,171,
contig_4632,574,73333,35,
contig_4634,750,126544,2453,
contig_4635,397,58693,193,
contig_46351,2900,221562,738,
contig_46353,1852,211725,81,
contig_46359,372,34132,38,
contig_4636,1077,161947,199,
contig_46368,428,43207,77,
contig_46370,240,13086,71,
contig_46371,712,104656,271,
contig_46374,3320,279300,159,
contig_46378,239,27140,656,
contig_4638,431,47458,84,
contig_46384,137,34610,6121,
contig_46385,1658,177487,298,
contig_46388,735,144339,613,
contig_4639,169,18541,21,
contig_46391,173,22005,42,
contig_46396,177,18047,515,
contig_46404,320,26519,21,
contig_4642,731,118525,496,
contig_46420,349,27459,827,
contig_46428,84,13939,364,
contig_46434,130,22571,50,
contig_46435,573,106072,94,
contig_46440,296,21342,29,
contig_46441,73,11826,117,
contig_46449,278,36580,18,
contig_46450,1837,219703,221,
contig_46453,6603,590267,1012,
contig_46456,18353,1581446,412,
contig_46463,924,80091,467,
contig_46464,923,63042,1505,
contig_46465,1264,277309,18044,
contig_46475,4428,888147,1346,
contig_4648,493,52357,367,
contig_46480,157,19650,54,
contig_46501,521,68860,104,
contig_46504,711,82121,165,
contig_46505,94,17510,17,
contig_46508,234,63141,135,
contig_46509,119,20643,41,
contig_4651,1056,143413,252,
contig_46514,184,22973,37,
contig_4652,12352,3106467,215812,
contig_46523,249,35409,18,
contig_4653,593,73632,1816,
contig_46531,185,21560,114,
contig_46538,2411,290697,728,
contig_46546,50,13445,115,
contig_46547,124,13576,8,
contig_46549,3476,339860,323,
contig_4655,274,37141,5,
contig_46551,284,45401,83,
contig_46552,404,30936,43,
contig_46553,328,30683,385,
contig_46554,256,44683,20,
contig_46561,276,43945,141,
contig_46567,242,33641,37,
contig_4658,4427,666350,1870,
contig_46593,2651,370683,794,
contig_46597,525,35846,267,
contig_46599,1944,295188,491,
contig_4660,1576,280272,4539,
contig_46602,359,29220,172,
contig_46609,228,25469,76,
contig_46610,688,122840,468,
contig_46616,629,72710,77,
contig_46620,155,11763,133,
contig_46630,1404,118436,171,
contig_46636,985,123759,513,
contig_46637,1035,149163,68,
contig_46638,57,13734,23,
contig_46648,24,3131,2,
contig_4665,250,24870,12,
contig_46653,217,29102,51,
contig_46658,1509,223598,1196,
contig_46665,3349,421903,2840,
contig_46671,173,18093,16,
contig_46672,1153,133842,195,
contig_46674,84,14047,75,
contig_46678,3003,343344,351,
contig_46680,237,37146,106,
contig_46681,2069,282345,413,
contig_46687,60,18475,18,
contig_46691,756,99717,83,
contig_4670,1426,180514,430,
contig_46705,74,13361,51,
contig_46706,267,23778,38,
contig_46708,1794,144292,547,
contig_4671,15677,1355933,4800,
contig_46711,650,65169,76,
contig_46713,123,14081,25,
contig_46714,478,45588,71,
contig_46724,1431,134233,198,
contig_46725,161,22933,29,
contig_46727,168,22894,129,
contig_46728,582,76109,102,
contig_4673,799,98729,99,
contig_46744,258,41606,61,
contig_46745,851,110097,46,
contig_46748,324,37622,53,
contig_46756,7877,743628,439,
contig_46760,145,45371,73,
contig_46761,381,57070,100,
contig_46762,1057,150418,152,
contig_46763,2054,306242,736,
contig_46769,895,114597,65,
contig_4677,4333,327747,153,
contig_46772,492,31031,1661,
contig_46773,175,31984,60,
contig_46777,27871,4011735,174363,
contig_46783,4843,480336,309,
contig_46796,518,35802,8,
contig_46798,459,47634,53,
contig_468,502,94913,1002,
contig_46800,756,46393,1347,
contig_46808,644,76491,114,
contig_46813,162,23773,266,
contig_46821,1042,89457,539,
contig_46823,15017,1488324,701,
contig_46833,219,31730,52,
contig_46836,404,34634,26,
contig_46838,1076,166151,215,
contig_46841,25,13293,153,
contig_46843,441,34391,903,
contig_46850,69,25298,39,
contig_46851,206,21993,29,
contig_46855,345,48136,92,
contig_46856,402,47114,39,
contig_46857,650,63109,100,
contig_46860,497,59930,81,
contig_46862,549,66238,74,
contig_46865,221,20905,7,
contig_46866,180,20102,14,
contig_46877,776,96603,118,
contig_46878,76,13419,14,
contig_46880,169,21705,70,
contig_46883,279,36382,6,
contig_46884,1140,124039,358,
contig_46892,227,30487,116,
contig_46893,1221,84399,159,
contig_46894,473,114285,65,
contig_46899,75,10197,51,
contig_46902,1637,106394,100,
contig_46906,331,44652,61,
contig_46907,731,58959,155,
contig_46911,199,19409,19,
contig_46915,240,20803,31,
contig_46919,181,17823,9,
contig_46923,148,34251,168,
contig_46925,464,57560,25,
contig_46930,1081,127160,186,
contig_46935,2204,310867,1469,
contig_46951,700,63589,26,
contig_46953,195,13629,77,
contig_46954,163,27915,44,
contig_46967,378,52451,77,
contig_46972,653,68383,43,
contig_46979,306,28083,58,
contig_46997,273,23744,34,
contig_46999,1840,124984,16744,
contig_47007,101,15128,31,
contig_47008,779,81900,108,
contig_47010,1025,117107,206,
contig_47015,350,34213,222,
contig_47020,565,68695,126,
contig_47021,1604,190771,1636,
contig_47022,182,28493,20,
contig_47023,1398,167927,623,
contig_47025,3757,441958,1953,
contig_47035,1230,121271,249,
contig_47041,439,56057,72,
contig_47050,61,11989,32,
contig_47098,172,21151,35,
contig_471,270,46895,85,
contig_47104,3818,628342,705,
contig_4711,872,87697,125,
contig_4712,3983,382078,573,
contig_4714,797,84323,66,
contig_47146,678,123129,376,
contig_47155,629,77707,680,
contig_47158,556,71637,29,
contig_47167,503,76637,72,
contig_47168,566,90824,342,
contig_4717,1164,143622,29,
contig_47170,635,75923,146,
contig_47177,927,113767,146,
contig_47185,197,17519,16,
contig_47190,341,25441,46,
contig_47199,432,38576,8,
contig_472,542,77707,83,
contig_47202,690,75660,123,
contig_47203,308,25696,588,
contig_47205,982,122768,256,
contig_47208,352,30515,175,
contig_47221,1232,194873,1043,
contig_47226,111,30231,1661,
contig_47227,443,54432,37,
contig_47228,390,22500,305,
contig_47240,3164,248399,318,
contig_47242,1050,146781,1088,
contig_47248,69,9930,26,
contig_47252,134,12528,20,
contig_47268,178,25600,16,
contig_4727,380,44453,92,
contig_47272,2597,357734,1791,
contig_47278,555,108454,154,
contig_47285,220,23168,7,
contig_47288,461,39085,34,
contig_4729,8906,1479915,2819,
contig_47291,755,115988,136,
contig_47296,1021,112382,124,
contig_47298,341,36560,47,
contig_4730,1005,88911,124,
contig_47304,504,41528,2401,
contig_4731,21227,2231652,5662,
contig_47316,480,83759,170,
contig_47317,304,33876,116,
contig_47318,185,24311,107,
contig_47327,694,50604,197,
contig_4733,2821,356555,239,
contig_47331,245,15602,174,
contig_47338,355,46371,50,
contig_47340,315,74100,95,
contig_47344,2494,213572,185,
contig_47345,162,15225,78,
contig_47347,531,64768,46,
contig_47354,287,26744,130,
contig_47364,276,39519,102,
contig_47365,292,53747,132,
contig_47372,3288,331392,389,
contig_4738,1557,187179,1036,
contig_47383,529,55184,84,
contig_47391,686,68291,67,
contig_47393,164,19434,60,
contig_47396,265,50262,12,
contig_47409,196,31115,11,
contig_47414,1453,163175,123,
contig_47418,743,76277,153,
contig_47419,129,16110,27,
contig_47420,483,65108,109,
contig_47422,298,23814,193,
contig_47424,1672,144456,1177,
contig_4743,2331,331019,499,
contig_47431,291,26926,530,
contig_47443,131,18332,55,
contig_47448,345,31649,27,
contig_47449,1687,256588,898,
contig_47452,962,113981,64,
contig_47453,334,35981,34,
contig_47454,377,41482,83,
contig_47461,324,26830,32,
contig_47464,258,33227,57,
contig_47466,834,64188,33,
contig_47473,665,81088,144,
contig_47478,126,14765,15,
contig_47481,164,19239,12,
contig_47484,105,18713,81,
contig_47486,178,15905,31,
contig_47491,2533,151571,120,
contig_47492,2539,305129,421,
contig_47493,409,39414,135,
contig_47494,108,13353,2065,
contig_47498,858,111118,956,
contig_47504,398,48668,25,
contig_47506,136,26281,27,
contig_47513,129,13316,20,
contig_47517,1018,88696,171,
contig_47520,3139,423587,2250,
contig_47521,415,63095,149,
contig_47524,300,31369,45,
contig_47530,464,67408,2,
contig_47531,739,107356,184,
contig_47536,224,28896,19,
contig_47553,586,76940,101,
contig_47554,140,16900,79,
contig_47557,916,97067,71,
contig_47561,132,31501,88,
contig_47584,509,69948,2200,
contig_47592,464,44119,22,
contig_47593,168,17929,12,
contig_47594,327,52860,45,
contig_47598,509,71384,160,
contig_4760,731,91177,124,
contig_47607,179,18388,20,
contig_47617,95,11729,16,
contig_47619,194,11461,1,
contig_47620,373,44763,32,
contig_47628,494,62495,84,
contig_47632,941,70768,239,
contig_47637,310,56312,90,
contig_47638,266,34418,1554,
contig_4764,546,67835,151,
contig_47646,72,25209,52,
contig_47650,123,20508,83,
contig_47654,1688,122584,1354,
contig_4766,195,33682,81,
contig_47665,200,24913,55,
contig_47685,154,25608,48,
contig_47686,208,22080,536,
contig_47693,150,18822,114,
contig_47696,2833,302580,473,
contig_477,737,109985,31,
contig_47709,203,20149,681,
contig_47712,314,40866,49,
contig_47714,745,103582,142,
contig_47717,1050,119975,122,
contig_47727,1203,93014,5205,
contig_47731,406,38708,24,
contig_47733,189,17584,31,
contig_47739,115,17441,12,
contig_47740,668,71084,96,
contig_47749,112,10430,214,
contig_47758,1512,179985,26,
contig_47762,1338,80640,432,
contig_47769,516,55360,105,
contig_4777,13925,1538372,7190,
contig_47775,644,85759,406,
contig_47780,813,80179,53,
contig_47789,224,29108,30,
contig_4779,8245,760271,5903,
contig_47791,122,12706,119,
contig_47793,1259,71852,1852,
contig_47794,1460,82778,3449,
contig_47796,130,21920,49,
contig_47798,1804,200791,184,
contig_478,177,36417,34,
contig_47801,219,22748,11,
contig_47814,2529,126951,85,
contig_47816,281,42821,211,
contig_47821,867,118088,210,
contig_47823,291,24595,34,
contig_47824,610,82191,165,
contig_47826,547,44026,270,
contig_47831,243,27578,357,
contig_47840,771,74574,64,
contig_47843,323,47888,87,
contig_47845,73,9132,8,
contig_47851,120,26839,2550,
contig_47854,848,156060,1028,
contig_47856,117,41066,135,
contig_4786,717,77622,27,
contig_47860,192,20820,20,
contig_47863,149,17583,12,
contig_47866,972,111442,170,
contig_47869,187,33133,52,
contig_47875,866,84039,104,
contig_47880,608,47496,35,
contig_47883,739,122254,147,
contig_47886,1689,218259,145,
contig_47895,88,12459,35,
contig_47896,198,31559,135,
contig_47897,172,19126,8,
contig_47899,271,26382,208,
contig_47907,398,75510,418,
contig_47918,757,75791,93,
contig_4793,2117,228145,840,
contig_47932,163,17564,101,
contig_47933,1036,69051,35,
contig_47936,323,18809,11,
contig_4794,497,74493,84,
contig_47940,170,18955,69,
contig_47949,1050,88043,125,
contig_47954,282,32923,54,
contig_47956,605,79721,45,
contig_47957,872,84003,112,
contig_47967,444,53007,52,
contig_47970,126,14425,12,
contig_47972,1861,175522,622,
contig_47973,653,86208,120,
contig_47986,1190,117873,55,
contig_47994,409,51234,46,
contig_48,4432,612216,2738,
contig_4800,3874,624409,3291,
contig_48005,488,43669,48,
contig_48006,1301,156296,292,
contig_48010,281,31938,34,
contig_48011,177,13865,52,
contig_48033,622,69564,260,
contig_48039,638,89871,28,
contig_48040,428,66884,61,
contig_48046,521,67624,30,
contig_48049,489,54279,47,
contig_48055,115,19161,77,
contig_48057,87,12393,55,
contig_48059,2264,205959,152,
contig_48064,251,24589,163,
contig_48070,50,18909,79,
contig_48071,273,23159,189,
contig_48072,70,10053,16,
contig_48083,127,13912,293,
contig_48087,780,115987,116,
contig_48088,717,110404,59,
contig_48089,1097,174743,518,
contig_4809,1072,83199,45,
contig_481,3468,423052,842,
contig_48100,358,47658,101,
contig_48103,231,19491,14,
contig_4811,1955,207082,3097,
contig_48116,241,20314,103,
contig_48118,325,27027,151,
contig_48120,193,19419,12,
contig_48125,1341,126275,1045,
contig_4813,391,46099,79,
contig_48131,539,68686,169,
contig_48132,40,12775,372,
contig_48133,257,28770,702,
contig_48138,971,122985,120,
contig_4814,246,27658,31,
contig_48144,66,20287,1616,
contig_48145,447,70800,84,
contig_4815,1931,124343,58,
contig_48153,1027,224913,331,
contig_48155,152,22018,94,
contig_48159,1054,118535,173,
contig_4816,22374,1374649,30634,
contig_48167,483,45999,1375,
contig_48168,338,35581,261,
contig_48171,116,12312,20,
contig_48175,6092,669358,2383,
contig_48176,136,12820,279,
contig_48182,704,99261,188,
contig_48183,66,21889,1611,
contig_48190,607,127580,217,
contig_48195,69,12673,5,
contig_48199,186,13055,1,
contig_4820,12557,739975,2135,
contig_48221,199,19603,37,
contig_48222,2293,138638,554,
contig_48235,165,15094,9,
contig_48238,2860,173934,10,
contig_48244,196,24479,191,
contig_4825,1494,198893,22056,
contig_48250,1618,111805,202,
contig_4826,1659,211318,20396,
contig_48261,118,25138,87,
contig_48273,384,40053,62,
contig_48277,440,66117,94,
contig_4828,200,29944,27,
contig_48283,814,112023,305,
contig_48284,2906,333603,568,
contig_48287,893,109874,43,
contig_48295,1067,117287,84,
contig_4830,2243,230655,1018,
contig_48302,420,57172,93,
contig_48303,409,44566,333,
contig_48304,183,21716,687,
contig_48306,1758,146269,225,
contig_48317,121,12241,25,
contig_48322,698,134249,76,
contig_48330,343,33161,27,
contig_48338,1102,115260,123,
contig_4834,2924,341243,313,
contig_48340,98,33391,63,
contig_48342,650,78047,121,
contig_48359,120,18613,19,
contig_4836,375,40028,21,
contig_48364,207,18650,20,
contig_48369,158,14665,20,
contig_48370,532,58988,94,
contig_48375,271,28936,67,
contig_48382,491,42178,59,
contig_4839,407,46326,21,
contig_48393,691,82907,66,
contig_48396,165,21056,14,
contig_4840,12988,1459368,9132,
contig_48405,882,101805,224,
contig_48410,765,65317,392,
contig_48417,346,48520,69,
contig_4842,362,24059,118,
contig_48429,935,122223,232,
contig_48438,101,20707,89,
contig_48440,248,15959,133,
contig_48443,1155,136333,206,
contig_48446,127,18206,15,
contig_48450,94,13583,31,
contig_48452,391,147066,53340,
contig_48453,706,97900,118,
contig_48454,136,14434,426,
contig_48456,432,43338,1985,
contig_48457,859,84246,109,
contig_48459,2203,186823,112,
contig_48464,1675,152662,193,
contig_48470,65,12303,47,
contig_48480,399,55539,38,
contig_48483,471,53537,20,
contig_48485,7565,402196,7146,
contig_48490,146,45330,136,
contig_4851,1487,101249,122,
contig_48518,376,54124,155,
contig_48520,655,93850,123,
contig_48528,843,110097,125,
contig_48531,2033,198050,68,
contig_48532,806,85350,1403,
contig_48535,252,36824,71,
contig_48536,254,37027,17,
contig_48538,215,24812,28,
contig_48546,394,32420,5,
contig_48555,39,2584,2,
contig_48574,543,65583,178,
contig_48575,589,67802,182,
contig_48578,52,20402,31,
contig_48579,201,26387,93,
contig_48587,440,68821,187,
contig_48588,378,56866,42,
contig_4859,4581,658216,657,
contig_48595,55,18111,23,
contig_48610,259,31583,48,
contig_48614,176,15527,24,
contig_48619,196,17169,21,
contig_48622,114,23425,3,
contig_48628,242,23363,41,
contig_4863,1152,101062,89,
contig_48636,482,74078,32,
contig_48637,612,79125,137,
contig_4865,330,40113,12,
contig_48661,68,23337,75,
contig_48663,1344,131699,361,
contig_48668,641,84119,103,
contig_4867,1311,165321,389,
contig_48676,235,33565,468,
contig_48677,58,10833,1175,
contig_48678,370,45130,43,
contig_48685,100,15074,34,
contig_4869,12373,1154823,171,
contig_4870,5913,545801,125,
contig_48704,312,38738,59,
contig_48718,116,21739,5,
contig_48719,354,40418,85,
contig_48721,188,27345,54,
contig_48729,69,17602,48,
contig_48731,1785,97901,62,
contig_48735,1753,198428,171,
contig_4874,25568,3322188,186406,
contig_48744,36,11923,156,
contig_48746,385,68595,91,
contig_48749,210,16970,32,
contig_48750,295,28794,6,
contig_48753,897,89520,63,
contig_48757,266,27069,198,
contig_48766,393,34441,19,
contig_48770,154,23348,53,
contig_4878,943,82792,177,
contig_48782,313,27521,33,
contig_48784,567,88580,59,
contig_48786,22132,2107581,25662,
contig_4880,2571,288089,290,
contig_48802,132,66033,26061,
contig_48807,1410,150402,187,
contig_48811,112,19591,52,
contig_48812,1000,147284,149,
contig_48817,2469,207612,474,
contig_4882,655,84447,2210,
contig_48833,6136,564746,170,
