Bin index,Category,Phylum,Class,Order,Family,Genus,Species
contig_33533,plasmid,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
contig_33587,virus,Unclassified,Unclassified,Caudoviralev,Podoviridae,Unclassified,Unclassified
contig_33590,virus,Unclassified,Unclassified,Caudoviralev,Podoviridae,Unclassified,Unclassified
contig_33671,plasmid,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
contig_33858,virus,Unclassified,Unclassified,Caudoviralev,Myoviridae,Unclassified,Unclassified
contig_34067,virus,Unclassified,Unclassified,Caudoviralev,Siphoviridae,Unclassified,Unclassified
contig_34224,virus,Unclassified,Unclassified,Caudoviralev,Myoviridae,Unclassified,Unclassified
contig_34225,virus,Unclassified,Unclassified,Caudoviralev,Siphoviridae,Unclassified,Unclassified
contig_34357,virus,Unclassified,Unclassified,Caudoviralev,Myoviridae,Unclassified,Unclassified
contig_34505,virus,Unclassified,Unclassified,Caudoviralev,Siphoviridae,Unclassified,Unclassified
contig_34847,virus,Unclassified,Unclassified,Caudoviralev,Myoviridae,Unclassified,Unclassified
contig_34970,virus,Unclassified,Unclassified,Caudoviralev,Myoviridae,Unclassified,Unclassified
contig_34996,virus,Unclassified,Unclassified,Caudoviralev,Myoviridae,Unclassified,Unclassified
contig_34999,virus,Unclassified,Unclassified,Herpesviralev,Herpesviridae,Unclassified,Unclassified
contig_35027,virus,Unclassified,Unclassified,Caudoviralev,Siphoviridae,Unclassified,Unclassified
contig_35387,virus,Unclassified,Unclassified,Caudoviralev,Siphoviridae,Unclassified,Unclassified
contig_35651,virus,Unclassified,Unclassified,Caudoviralev,Myoviridae,Unclassified,Unclassified
contig_35724,plasmid,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
contig_35805,virus,Unclassified,Unclassified,Caudoviralev,Myoviridae,Unclassified,Unclassified
contig_35830,plasmid,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
contig_35872,virus,Unclassified,Unclassified,Caudoviralev,Siphoviridae,Unclassified,Unclassified
contig_35873,virus,Unclassified,Unclassified,Caudoviralev,Siphoviridae,Unclassified,Unclassified
contig_36015,virus,Unclassified,Unclassified,Caudoviralev,Myoviridae,Unclassified,Unclassified
contig_36580,virus,Unclassified,Unclassified,Caudoviralev,Siphoviridae,Unclassified,Unclassified
contig_372,virus,Unclassified,Unclassified,Caudoviralev,Siphoviridae,Unclassified,Unclassified
contig_37592,virus,Unclassified,Unclassified,Caudoviralev,Siphoviridae,Unclassified,Unclassified
contig_38427,virus,Unclassified,Unclassified,Caudoviralev,Podoviridae,Unclassified,Unclassified
contig_38489,virus,Unclassified,Unclassified,Caudoviralev,Siphoviridae,Unclassified,Unclassified
contig_38647,plasmid,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
contig_39085,virus,Unclassified,Unclassified,Caudoviralev,Podoviridae,Unclassified,Unclassified
contig_39088,virus,Unclassified,Unclassified,Caudoviralev,Myoviridae,Unclassified,Unclassified
contig_39119,virus,Unclassified,Unclassified,Caudoviralev,Siphoviridae,Unclassified,Unclassified
contig_39686,virus,Unclassified,Unclassified,Caudoviralev,Siphoviridae,Unclassified,Unclassified
contig_39962,virus,Unclassified,Unclassified,Caudoviralev,Podoviridae,Unclassified,Unclassified
contig_4003,virus,Unclassified,Unclassified,Caudoviralev,Siphoviridae,Unclassified,Unclassified
contig_40089,virus,Unclassified,Unclassified,Caudoviralev,Siphoviridae,Unclassified,Unclassified
contig_40215,virus,Unclassified,Unclassified,Caudoviralev,Siphoviridae,Unclassified,Unclassified
contig_40442,virus,Unclassified,Unclassified,Caudoviralev,Siphoviridae,Unclassified,Unclassified
contig_40454,virus,Unclassified,Unclassified,Caudoviralev,Siphoviridae,Unclassified,Unclassified
contig_40536,virus,Unclassified,Unclassified,Caudoviralev,Siphoviridae,Unclassified,Unclassified
contig_40537,virus,Unclassified,Unclassified,Caudoviralev,Siphoviridae,Unclassified,Unclassified
contig_41056,plasmid,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
contig_41097,virus,Unclassified,Unclassified,Caudoviralev,Podoviridae,Unclassified,Unclassified
contig_41181,virus,Unclassified,Unclassified,Caudoviralev,Siphoviridae,Unclassified,Unclassified
contig_41478,virus,Unclassified,Unclassified,Caudoviralev,Myoviridae,Unclassified,Unclassified
contig_41638,virus,Unclassified,Unclassified,Caudoviralev,Myoviridae,Unclassified,Unclassified
contig_41661,virus,Unclassified,Unclassified,Caudoviralev,Myoviridae,Unclassified,Unclassified
contig_41925,virus,Unclassified,Unclassified,Caudoviralev,Siphoviridae,Unclassified,Unclassified
contig_41969,virus,Unclassified,Unclassified,Caudoviralev,Siphoviridae,Unclassified,Unclassified
contig_42104,virus,Unclassified,Unclassified,Caudoviralev,Podoviridae,Unclassified,Unclassified
contig_42151,virus,Unclassified,Unclassified,Caudoviralev,Siphoviridae,Unclassified,Unclassified
contig_42178,virus,Unclassified,Unclassified,Caudoviralev,Siphoviridae,Unclassified,Unclassified
contig_42196,virus,Unclassified,Unclassified,Caudoviralev,Myoviridae,Unclassified,Unclassified
contig_42250,virus,Unclassified,Unclassified,Caudoviralev,Siphoviridae,Unclassified,Unclassified
contig_4231,virus,Unclassified,Unclassified,Caudoviralev,Podoviridae,Unclassified,Unclassified
contig_42410,virus,Unclassified,Unclassified,Caudoviralev,Siphoviridae,Unclassified,Unclassified
contig_42412,virus,Unclassified,Unclassified,Caudoviralev,Siphoviridae,Unclassified,Unclassified
contig_4262,virus,Unclassified,Unclassified,Caudoviralev,Siphoviridae,Unclassified,Unclassified
contig_42797,virus,Unclassified,Unclassified,Caudoviralev,Podoviridae,Unclassified,Unclassified
contig_43032,virus,Unclassified,Unclassified,Caudoviralev,Podoviridae,Unclassified,Unclassified
contig_43078,plasmid,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
contig_43285,virus,Unclassified,Unclassified,Caudoviralev,Myoviridae,Unclassified,Unclassified
contig_43589,virus,Unclassified,Unclassified,Caudoviralev,Siphoviridae,Unclassified,Unclassified
contig_43609,virus,Unclassified,Unclassified,Caudoviralev,Siphoviridae,Unclassified,Unclassified
contig_4365,virus,Unclassified,Unclassified,Caudoviralev,Siphoviridae,Unclassified,Unclassified
contig_4368,virus,Unclassified,Unclassified,Caudoviralev,Podoviridae,Unclassified,Unclassified
contig_43763,virus,Unclassified,Unclassified,Caudoviralev,Podoviridae,Unclassified,Unclassified
contig_43801,plasmid,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
contig_44067,virus,Unclassified,Unclassified,Caudoviralev,Myoviridae,Unclassified,Unclassified
contig_44181,virus,Unclassified,Unclassified,Caudoviralev,Siphoviridae,Unclassified,Unclassified
contig_44253,virus,Unclassified,Unclassified,Caudoviralev,Siphoviridae,Unclassified,Unclassified
contig_44310,plasmid,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
contig_45248,virus,Unclassified,Unclassified,Caudoviralev,Siphoviridae,Unclassified,Unclassified
contig_45250,virus,Unclassified,Unclassified,Caudoviralev,Myoviridae,Unclassified,Unclassified
contig_45364,virus,Unclassified,Unclassified,Caudoviralev,Siphoviridae,Unclassified,Unclassified
contig_45466,virus,Unclassified,Unclassified,Caudoviralev,Siphoviridae,Unclassified,Unclassified
contig_4563,virus,Unclassified,Unclassified,Caudoviralev,Podoviridae,Unclassified,Unclassified
contig_45882,virus,Unclassified,Unclassified,Caudoviralev,Siphoviridae,Unclassified,Unclassified
contig_45958,virus,Unclassified,Unclassified,Caudoviralev,Siphoviridae,Unclassified,Unclassified
contig_46165,plasmid,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
contig_46251,plasmid,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
contig_46371,plasmid,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
contig_46711,virus,Unclassified,Unclassified,Caudoviralev,Siphoviridae,Unclassified,Unclassified
contig_47424,virus,Unclassified,Unclassified,Caudoviralev,Siphoviridae,Unclassified,Unclassified
contig_47491,virus,Unclassified,Unclassified,Herpesviralev,Herpesviridae,Unclassified,Unclassified
contig_48059,plasmid,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
contig_48359,virus,Unclassified,Unclassified,Caudoviralev,Myoviridae,Unclassified,Unclassified
contig_48636,virus,Unclassified,Unclassified,Caudoviralev,Siphoviridae,Unclassified,Unclassified
contig_48676,virus,Unclassified,Unclassified,Caudoviralev,Myoviridae,Unclassified,Unclassified
