Bin index,Contig index
MAG_117,contig_15118
MAG_117,contig_1726
MAG_117,contig_19437
MAG_117,contig_19737
MAG_117,contig_20325
MAG_117,contig_30499
MAG_117,contig_31535
MAG_117,contig_3880
MAG_117,contig_40183
MAG_117,contig_5383
MAG_117,contig_54113
MAG_117,contig_57317
MAG_117,contig_59701
MAG_117,contig_60628
MAG_117,contig_8110
MAG_1172,contig_640
MAG_1173,contig_29938
MAG_1174,contig_29966
MAG_1175,contig_11994
MAG_1176,contig_11640
MAG_1177,contig_58254
MAG_1186,contig_47933
MAG_1186,contig_57070
MAG_1186,contig_6040
MAG_1188,contig_1573
MAG_1188,contig_42787
MAG_1189,contig_58674
MAG_1189,contig_60818
MAG_119,contig_12494
MAG_119,contig_13332
MAG_119,contig_26039
MAG_119,contig_27432
MAG_119,contig_27741
MAG_119,contig_29888
MAG_119,contig_32139
MAG_119,contig_34514
MAG_119,contig_36608
MAG_119,contig_39271
MAG_119,contig_50318
MAG_119,contig_51450
MAG_119,contig_56856
MAG_119,contig_60255
MAG_119,contig_8497
MAG_119,contig_8499
MAG_119,contig_9451
MAG_1193,contig_6920
MAG_1193,contig_711
MAG_1194,contig_3210
MAG_1194,contig_43814
MAG_1194,contig_5034
MAG_1195,contig_1385
MAG_1195,contig_49321
MAG_1196,contig_10580
MAG_1196,contig_30703
MAG_1196,contig_53059
MAG_12,contig_10895
MAG_12,contig_11733
MAG_12,contig_12184
MAG_12,contig_21823
MAG_12,contig_23810
MAG_12,contig_25645
MAG_12,contig_31715
MAG_12,contig_31867
MAG_12,contig_3559
MAG_12,contig_3573
MAG_12,contig_3593
MAG_12,contig_36862
MAG_12,contig_37012
MAG_12,contig_40037
MAG_12,contig_40122
MAG_12,contig_41608
MAG_12,contig_45736
MAG_12,contig_46309
MAG_12,contig_47632
MAG_12,contig_49769
MAG_12,contig_50543
MAG_12,contig_51455
MAG_12,contig_52999
MAG_12,contig_53297
MAG_12,contig_53465
MAG_12,contig_5527
MAG_12,contig_5546
MAG_12,contig_8324
MAG_1206,contig_21678
MAG_1206,contig_26447
MAG_1209,contig_26567
MAG_1209,contig_46475
MAG_1209,contig_47104
MAG_1210,contig_15126
MAG_1210,contig_52128
MAG_1211,contig_10419
MAG_1211,contig_13661
MAG_1212,contig_13657
MAG_1212,contig_31082
MAG_1213,contig_6313
MAG_1215,contig_21305
MAG_1215,contig_4911
MAG_1215,contig_54443
MAG_1215,contig_55603
MAG_1215,contig_654
MAG_1218,contig_206
MAG_1218,contig_24674
MAG_1218,contig_34502
MAG_1218,contig_7685
MAG_1219,contig_13046
MAG_1219,contig_18269
MAG_1219,contig_2288
MAG_1221,contig_1371
MAG_1221,contig_15128
MAG_1223,contig_13552
MAG_1223,contig_15596
MAG_1223,contig_848
MAG_1227,contig_20359
MAG_1227,contig_61011
MAG_1232,contig_22349
MAG_1232,contig_30332
MAG_1232,contig_3146
MAG_1232,contig_57103
MAG_1233,contig_14738
MAG_1233,contig_56553
MAG_1236,contig_17122
MAG_1236,contig_34048
MAG_1236,contig_36102
MAG_1236,contig_37766
MAG_1237,contig_17119
MAG_1237,contig_54688
MAG_1239,contig_12208
MAG_1239,contig_6969
MAG_124,contig_10873
MAG_124,contig_18897
MAG_124,contig_18952
MAG_124,contig_19310
MAG_124,contig_2143
MAG_124,contig_25048
MAG_124,contig_40409
MAG_124,contig_41446
MAG_124,contig_42781
MAG_124,contig_50665
MAG_124,contig_53158
MAG_124,contig_53428
MAG_124,contig_57273
MAG_124,contig_57303
MAG_124,contig_58848
MAG_124,contig_60256
MAG_124,contig_60289
MAG_124,contig_6752
MAG_1241,contig_1603
MAG_1241,contig_51732
MAG_1244,contig_22772
MAG_1244,contig_42898
MAG_125,contig_13612
MAG_125,contig_13857
MAG_125,contig_15160
MAG_125,contig_17670
MAG_125,contig_19741
MAG_125,contig_21569
MAG_125,contig_22231
MAG_125,contig_24796
MAG_125,contig_24813
MAG_125,contig_30586
MAG_125,contig_5411
MAG_125,contig_55987
MAG_125,contig_56179
MAG_125,contig_58173
MAG_125,contig_6229
MAG_125,contig_8961
MAG_125,contig_8966
MAG_1250,contig_23399
MAG_1250,contig_2903
MAG_1250,contig_2932
MAG_1250,contig_51198
MAG_1251,contig_2913
MAG_1251,contig_2920
MAG_1251,contig_2922
MAG_1253,contig_12030
MAG_1253,contig_23395
MAG_1253,contig_24982
MAG_1253,contig_34334
MAG_1253,contig_59511
MAG_1253,contig_7124
MAG_1254,contig_4540
MAG_1254,contig_54277
MAG_1254,contig_55526
MAG_1254,contig_59510
MAG_1255,contig_16677
MAG_1255,contig_18554
MAG_1255,contig_22103
MAG_1255,contig_24551
MAG_1255,contig_26122
MAG_1256,contig_22102
MAG_1256,contig_26660
MAG_1256,contig_41381
MAG_1256,contig_9614
MAG_1257,contig_29144
MAG_1257,contig_34523
MAG_1257,contig_35071
MAG_1257,contig_43579
MAG_1257,contig_59568
MAG_1259,contig_10124
MAG_1259,contig_55849
MAG_1260,contig_4596
MAG_1260,contig_5076
MAG_1260,contig_51578
MAG_1261,contig_12861
MAG_1261,contig_12862
MAG_1261,contig_22222
MAG_1262,contig_41700
MAG_1262,contig_41703
MAG_1262,contig_51075
MAG_1263,contig_20337
MAG_1263,contig_333
MAG_1263,contig_33364
MAG_1263,contig_41112
MAG_1263,contig_41620
MAG_1264,contig_31087
MAG_1264,contig_53361
MAG_1266,contig_233
MAG_1266,contig_23512
MAG_1266,contig_5675
MAG_127,contig_13687
MAG_127,contig_14166
MAG_127,contig_16613
MAG_127,contig_29566
MAG_127,contig_30060
MAG_127,contig_3118
MAG_127,contig_45702
MAG_127,contig_49999
MAG_127,contig_50683
MAG_127,contig_50992
MAG_127,contig_51056
MAG_127,contig_51938
MAG_127,contig_53359
MAG_127,contig_53950
MAG_127,contig_55003
MAG_127,contig_57587
MAG_127,contig_6549
MAG_127,contig_8565
MAG_1271,contig_31308
MAG_1271,contig_3166
MAG_1271,contig_537
MAG_1271,contig_9518
MAG_128,contig_14373
MAG_128,contig_14818
MAG_128,contig_17936
MAG_128,contig_21862
MAG_128,contig_23524
MAG_128,contig_23526
MAG_128,contig_3479
MAG_128,contig_3483
MAG_128,contig_41527
MAG_128,contig_41685
MAG_128,contig_5198
MAG_128,contig_57798
MAG_128,contig_60330
MAG_128,contig_7855
MAG_1285,contig_15137
MAG_1285,contig_16462
MAG_1285,contig_60530
MAG_1285,contig_8382
MAG_1287,contig_26231
MAG_1287,contig_38166
MAG_1287,contig_60229
MAG_129,contig_11317
MAG_129,contig_14389
MAG_129,contig_24142
MAG_129,contig_25482
MAG_129,contig_28804
MAG_129,contig_35650
MAG_129,contig_37897
MAG_129,contig_39934
MAG_129,contig_40457
MAG_129,contig_43033
MAG_129,contig_43646
MAG_129,contig_46247
MAG_129,contig_47584
MAG_129,contig_49472
MAG_129,contig_51679
MAG_129,contig_54731
MAG_129,contig_56633
MAG_129,contig_59513
MAG_1290,contig_17530
MAG_1290,contig_52083
MAG_1290,contig_52695
MAG_1291,contig_43565
MAG_1291,contig_715
MAG_1293,contig_37299
MAG_1293,contig_56105
MAG_1293,contig_60085
MAG_1296,contig_14623
MAG_1296,contig_15421
MAG_1296,contig_31283
MAG_1296,contig_33821
MAG_1296,contig_34292
MAG_1296,contig_35340
MAG_1296,contig_44385
MAG_1296,contig_56990
MAG_1296,contig_9723
MAG_1297,contig_17577
MAG_1297,contig_25420
MAG_1297,contig_33503
MAG_1298,contig_12565
MAG_1298,contig_40251
MAG_1298,contig_424
MAG_1298,contig_48483
MAG_1298,contig_51616
MAG_1298,contig_60947
MAG_1299,contig_25327
MAG_1299,contig_38280
MAG_1299,contig_426
MAG_1299,contig_6629
MAG_1308,contig_39664
MAG_1308,contig_5377
MAG_1308,contig_6035
MAG_1311,contig_14081
MAG_1311,contig_14929
MAG_1311,contig_1559
MAG_1311,contig_20155
MAG_1311,contig_20785
MAG_1312,contig_1574
MAG_1312,contig_48677
MAG_1314,contig_20030
MAG_1314,contig_22435
MAG_1314,contig_22438
MAG_1314,contig_2444
MAG_1314,contig_26648
MAG_1317,contig_13806
MAG_1317,contig_13808
MAG_1317,contig_13825
MAG_1317,contig_20786
MAG_1317,contig_36826
MAG_1317,contig_39985
MAG_1317,contig_40774
MAG_1317,contig_41586
MAG_1317,contig_56392
MAG_132,contig_10056
MAG_132,contig_20387
MAG_132,contig_23396
MAG_132,contig_23397
MAG_132,contig_27964
MAG_132,contig_40113
MAG_132,contig_45917
MAG_132,contig_47492
MAG_132,contig_50828
MAG_132,contig_54781
MAG_132,contig_54996
MAG_132,contig_55598
MAG_132,contig_55953
MAG_132,contig_57225
MAG_132,contig_57278
MAG_132,contig_58066
MAG_132,contig_59258
MAG_1324,contig_2622
MAG_1324,contig_27085
MAG_1324,contig_41441
MAG_1324,contig_47228
MAG_1324,contig_50338
MAG_1325,contig_26408
MAG_1325,contig_36181
MAG_1325,contig_51843
MAG_1325,contig_6268
MAG_1326,contig_19614
MAG_1326,contig_2810
MAG_1326,contig_53204
MAG_1326,contig_5641
MAG_1327,contig_10235
MAG_1327,contig_11848
MAG_1327,contig_16678
MAG_1327,contig_23185
MAG_1327,contig_25271
MAG_1327,contig_25272
MAG_1327,contig_55535
MAG_1327,contig_8906
MAG_1328,contig_25270
MAG_1328,contig_25273
MAG_1328,contig_25277
MAG_1328,contig_25279
MAG_1328,contig_7622
MAG_1328,contig_8907
MAG_1332,contig_17181
MAG_1332,contig_17185
MAG_1332,contig_3201
MAG_1332,contig_5669
MAG_1333,contig_12511
MAG_1333,contig_38040
MAG_1333,contig_55646
MAG_1333,contig_682
MAG_1333,contig_9479
MAG_1334,contig_13685
MAG_1334,contig_31683
MAG_1334,contig_4800
MAG_1334,contig_9480
MAG_1337,contig_1775
MAG_1337,contig_3613
MAG_1337,contig_47177
MAG_1338,contig_21246
MAG_1338,contig_3030
MAG_1349,contig_16430
MAG_1349,contig_5569
MAG_1349,contig_5570
MAG_1350,contig_16355
MAG_1350,contig_16491
MAG_1350,contig_17293
MAG_1350,contig_17296
MAG_1350,contig_29218
MAG_1350,contig_51334
MAG_1350,contig_56790
MAG_1350,contig_8563
MAG_1351,contig_14556
MAG_1351,contig_29801
MAG_1351,contig_37854
MAG_1351,contig_39296
MAG_1351,contig_51126
MAG_1351,contig_56788
MAG_1351,contig_58976
MAG_1356,contig_12803
MAG_1356,contig_17132
MAG_1356,contig_30828
MAG_1356,contig_47845
MAG_1356,contig_4939
MAG_1356,contig_55273
MAG_1356,contig_56847
MAG_1356,contig_7149
MAG_1357,contig_14530
MAG_1357,contig_38584
MAG_1357,contig_38585
MAG_1357,contig_45997
MAG_1357,contig_7155
MAG_1357,contig_8924
MAG_136,contig_11786
MAG_136,contig_11789
MAG_136,contig_18417
MAG_136,contig_18638
MAG_136,contig_20141
MAG_136,contig_21654
MAG_136,contig_22604
MAG_136,contig_25697
MAG_136,contig_31866
MAG_136,contig_35999
MAG_136,contig_48870
MAG_136,contig_56510
MAG_136,contig_59531
MAG_136,contig_59650
MAG_136,contig_59866
MAG_136,contig_7127
MAG_136,contig_7293
MAG_1363,contig_30102
MAG_1363,contig_34540
MAG_1363,contig_34544
MAG_1363,contig_34545
MAG_1363,contig_55450
MAG_1363,contig_59538
MAG_1363,contig_8131
MAG_1363,contig_8132
MAG_1367,contig_14255
MAG_1367,contig_21469
MAG_1367,contig_23500
MAG_1367,contig_31247
MAG_1367,contig_34623
MAG_1367,contig_55445
MAG_1367,contig_56543
MAG_1367,contig_58092
MAG_137,contig_13990
MAG_137,contig_18338
MAG_137,contig_21877
MAG_137,contig_25473
MAG_137,contig_27512
MAG_137,contig_3036
MAG_137,contig_33145
MAG_137,contig_39414
MAG_137,contig_46725
MAG_137,contig_48039
MAG_137,contig_52380
MAG_137,contig_53941
MAG_137,contig_55829
MAG_137,contig_57096
MAG_137,contig_58893
MAG_137,contig_58894
MAG_137,contig_59632
MAG_1376,contig_2609
MAG_1376,contig_36195
MAG_1376,contig_40379
MAG_1376,contig_44754
MAG_1376,contig_53092
MAG_1376,contig_55931
MAG_1376,contig_5620
MAG_1376,contig_7902
MAG_1376,contig_7904
MAG_1377,contig_14422
MAG_1377,contig_18257
MAG_1377,contig_26691
MAG_1377,contig_28
MAG_1377,contig_28433
MAG_1377,contig_44753
MAG_1377,contig_59697
MAG_1377,contig_9918
MAG_138,contig_22421
MAG_138,contig_2448
MAG_138,contig_24543
MAG_138,contig_27430
MAG_138,contig_30802
MAG_138,contig_31768
MAG_138,contig_32521
MAG_138,contig_32636
MAG_138,contig_35019
MAG_138,contig_44964
MAG_138,contig_45350
MAG_138,contig_49487
MAG_138,contig_49524
MAG_138,contig_52294
MAG_138,contig_52763
MAG_138,contig_53197
MAG_138,contig_54062
MAG_1382,contig_13522
MAG_1382,contig_29492
MAG_1382,contig_3119
MAG_1382,contig_34441
MAG_1382,contig_3668
MAG_1382,contig_40323
MAG_1382,contig_50017
MAG_1382,contig_52135
MAG_1382,contig_54685
MAG_1382,contig_59030
MAG_1382,contig_8824
MAG_1382,contig_9447
MAG_1389,contig_12898
MAG_1389,contig_16837
MAG_1389,contig_16853
MAG_1389,contig_20859
MAG_1389,contig_4636
MAG_1389,contig_55057
MAG_1389,contig_5703
MAG_1389,contig_57541
MAG_1389,contig_5994
MAG_1389,contig_6007
MAG_139,contig_10745
MAG_139,contig_17200
MAG_139,contig_1745
MAG_139,contig_19042
MAG_139,contig_22563
MAG_139,contig_22564
MAG_139,contig_27198
MAG_139,contig_28740
MAG_139,contig_31467
MAG_139,contig_33752
MAG_139,contig_37654
MAG_139,contig_4043
MAG_139,contig_47345
MAG_139,contig_51520
MAG_139,contig_52031
MAG_139,contig_58938
MAG_139,contig_60582
MAG_1392,contig_10834
MAG_1392,contig_10840
MAG_1392,contig_10842
MAG_1392,contig_55878
MAG_1392,contig_55883
MAG_1395,contig_16538
MAG_1395,contig_16832
MAG_1395,contig_18123
MAG_1395,contig_26499
MAG_1395,contig_30027
MAG_1395,contig_3881
MAG_1395,contig_45020
MAG_1395,contig_50172
MAG_1395,contig_59489
MAG_1395,contig_59614
MAG_1396,contig_16833
MAG_1396,contig_18126
MAG_1396,contig_18127
MAG_1396,contig_18129
MAG_1396,contig_1993
MAG_1396,contig_23772
MAG_1398,contig_61091
MAG_1399,contig_2620
MAG_1399,contig_46851
MAG_140,contig_15640
MAG_140,contig_15964
MAG_140,contig_20744
MAG_140,contig_21467
MAG_140,contig_21489
MAG_140,contig_37165
MAG_140,contig_43081
MAG_140,contig_47296
MAG_140,contig_48538
MAG_140,contig_56012
MAG_140,contig_56523
MAG_140,contig_56578
MAG_140,contig_57154
MAG_140,contig_57936
MAG_140,contig_59031
MAG_140,contig_61014
MAG_1402,contig_54575
MAG_1402,contig_6004
MAG_1402,contig_678
MAG_1403,contig_1990
MAG_1403,contig_32536
MAG_1403,contig_4779
MAG_1403,contig_4937
MAG_1403,contig_53974
MAG_1403,contig_54920
MAG_1403,contig_6011
MAG_1406,contig_24476
MAG_1406,contig_24568
MAG_1406,contig_2619
MAG_1406,contig_35905
MAG_1406,contig_56666
MAG_1411,contig_33075
MAG_1411,contig_34426
MAG_1411,contig_34428
MAG_1411,contig_36208
MAG_1411,contig_46862
MAG_1411,contig_56372
MAG_1411,contig_58020
MAG_1411,contig_8817
MAG_1414,contig_11981
MAG_1414,contig_59931
MAG_1418,contig_36240
MAG_1418,contig_6016
MAG_1419,contig_20854
MAG_1419,contig_37017
MAG_1419,contig_505
MAG_1419,contig_6761
MAG_142,contig_12119
MAG_142,contig_19149
MAG_142,contig_20047
MAG_142,contig_21393
